,Unnamed: 0,Edad_y_Tipo_de_Atención,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,Covid-19_Virus_no_identificado_U07.2,Covid-19_Virus_identificado_U07.1,CAUSAS_SISTEMA_RESPIRATORIO,-_COVID-19_VIRUS_NO_IDENTIFICADO_U07.2,-_COVID-19_VIRUS_IDENTIFICADO_U07.1,COVID19_Sospechoso_u,COVID19_Confirmado_u,COVID19_Sospechoso_h,-_COVID_19_CONFIRMADO_(U07.1),Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
0,0,1,28,2,0,2,0,1,,,0,,,,,,,69.3,10.6,16.7,13.0,24.9,42.0,11.8
1,1,2,29,2,0,2,1,6,,,0,,,,,,,67.3,11.3,17.9,13.1,26.6,36.5,10.2
2,2,3,13,2,0,3,1,2,,,0,,,,,,,62.6,14.8,22.6,17.4,29.7,31.0,10.9
3,3,4,26,0,0,1,0,1,,,0,,,,,,,64.6,16.4,23.8,19.2,30.8,35.2,13.0
4,4,5,33,2,0,5,0,5,,,0,,,,,,,70.3,14.4,20.1,16.6,25.9,33.6,12.5
5,5,6,25,2,0,2,0,1,,,0,,,,,,,67.1,7.7,14.5,9.1,20.7,39.9,12.1
6,6,7,21,0,0,5,0,3,,,0,,,,,,,60.8,12.5,21.0,15.2,29.4,32.0,9.0
7,7,8,20,3,0,2,0,2,,,0,,,,,,,62.2,14.7,22.9,17.9,30.6,29.2,9.1
8,8,9,21,0,0,5,1,1,,,1,,,,,,,64.8,13.5,20.7,15.8,27.4,34.6,9.9
9,9,10,20,0,1,5,0,1,,,0,,,,,,,65.8,7.6,14.9,10.2,23.3,53.8,15.2
10,10,11,36,0,0,15,0,3,,,1,,,,,,,71.2,13.0,18.7,14.0,27.5,39.7,11.3
11,11,12,29,0,0,16,1,0,,,2,,,,,,,70.1,13.0,19.0,14.3,26.1,40.1,11.4
12,12,13,24,0,0,17,1,1,,,0,,,,,,,66.7,12.6,19.4,14.4,26.9,42.6,10.8
13,13,14,40,5,0,6,0,1,,,0,,,,,,,71.0,9.6,15.2,11.3,21.3,46.7,12.0
14,14,15,24,2,0,8,2,0,,,0,,,,,,,69.3,10.6,16.8,11.4,27.3,49.1,13.3
15,15,16,30,1,0,10,0,2,,,0,,,,,,,65.7,11.2,18.3,13.7,25.6,49.5,15.5
16,16,17,32,1,0,7,0,0,,,0,,,,,,,70.9,9.6,15.6,9.8,24.6,56.2,17.4
17,17,18,46,4,1,13,0,1,,,1,,,,,,,69.6,10.7,16.9,11.4,24.7,42.2,16.1
18,18,19,46,1,0,30,2,3,,,0,,,,,,,65.8,9.2,16.4,11.3,24.2,48.0,13.8
19,19,20,28,5,0,14,2,2,,,0,,,,,,,68.4,8.7,14.9,10.7,20.5,87.8,14.9
20,20,21,12,3,0,9,2,0,,,0,,,,,,,68.3,8.3,14.3,9.7,21.7,71.9,16.8
21,21,22,19,3,3,14,3,0,,,1,,,,,,,64.7,10.1,17.5,12.3,24.9,79.5,26.0
22,22,23,59,6,1,29,3,3,,,1,,,,,,,68.3,8.2,14.6,9.7,22.7,57.6,18.0
23,23,24,75,18,0,36,1,2,,,1,,,,,,,72.5,9.0,14.2,9.5,21.3,41.0,13.1
24,24,25,102,20,1,48,3,3,,,0,,,,,,,72.6,7.9,13.1,8.1,20.0,36.7,12.5
25,25,26,71,26,0,21,2,2,,,2,,,,,,,72.4,10.5,15.9,10.9,23.5,35.9,14.6
26,26,27,51,22,3,22,0,2,,,1,,,,,,,69.3,9.4,15.6,11.8,23.6,61.5,19.6
27,27,28,41,13,2,27,2,2,,,1,,,,,,,70.9,8.3,13.8,9.6,22.0,44.9,19.2
28,28,29,22,2,1,24,1,0,,,2,,,,,,,63.9,4.5,12.3,6.6,19.4,62.1,24.4
29,29,30,18,3,3,17,2,3,,,3,,,,,,,74.0,7.1,12.3,7.0,20.3,52.6,24.9
