,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,28,2,0,2,0,1,,,0,,,,,,
1,2,29,2,0,2,1,6,,,0,,,,,,
2,3,13,2,0,3,1,2,,,0,,,,,,
3,4,26,0,0,1,0,1,,,0,,,,,,
4,5,33,2,0,5,0,5,,,0,,,,,,
5,6,25,2,0,2,0,1,,,0,,,,,,
6,7,21,0,0,5,0,3,,,0,,,,,,
7,8,20,3,0,2,0,2,,,0,,,,,,
8,9,21,0,0,5,1,1,,,1,,,,,,
9,10,20,0,1,5,0,1,,,0,,,,,,
10,11,36,0,0,15,0,3,,,1,,,,,,
11,12,29,0,0,16,1,0,,,2,,,,,,
12,13,24,0,0,17,1,1,,,0,,,,,,
13,14,40,5,0,6,0,1,,,0,,,,,,
14,15,24,2,0,8,2,0,,,0,,,,,,
15,16,30,1,0,10,0,2,,,0,,,,,,
16,17,32,1,0,7,0,0,,,0,,,,,,
17,18,46,4,1,13,0,1,,,1,,,,,,
18,19,46,1,0,30,2,3,,,0,,,,,,
19,20,28,5,0,14,2,2,,,0,,,,,,
20,21,12,3,0,9,2,0,,,0,,,,,,
21,22,19,3,3,14,3,0,,,1,,,,,,
22,23,59,6,1,29,3,3,,,1,,,,,,
23,24,75,18,0,36,1,2,,,1,,,,,,
24,25,102,20,1,48,3,3,,,0,,,,,,
25,26,71,26,0,21,2,2,,,2,,,,,,
26,27,51,22,3,22,0,2,,,1,,,,,,
27,28,41,13,2,27,2,2,,,1,,,,,,
28,29,22,2,1,24,1,0,,,2,,,,,,
29,30,18,3,3,17,2,3,,,3,,,,,,
30,31,12,0,4,5,2,1,,,2,,,,,,
31,32,18,5,0,11,1,0,,,0,,,,,,
32,33,17,3,0,6,4,1,,,1,,,,,,
33,34,14,3,1,14,2,1,,,2,,,,,,
34,35,44,3,1,16,3,0,,,1,,,,,,
35,36,47,5,2,31,4,2,,,2,,,,,,
36,37,36,1,2,17,3,1,,,0,,,,,,
37,38,51,6,2,12,1,1,,,1,,,,,,
38,39,34,5,4,19,1,1,,,2,,,,,,
39,40,47,5,1,19,4,2,,,3,,,,,,
40,41,57,1,3,16,1,3,,,0,,,,,,
41,42,48,0,0,20,3,3,,,1,,,,,,
42,43,54,0,3,12,3,2,,,1,,,,,,
43,44,23,3,2,19,3,1,,,1,,,,,,
44,45,25,7,0,10,0,3,,,0,,,,,,
45,46,33,4,0,16,0,2,,,0,,,,,,
46,47,22,1,5,16,2,1,,,0,,,,,,
47,48,32,2,0,19,4,3,,,1,,,,,,
48,49,28,5,0,11,0,1,,,0,,,,,,
49,50,21,8,0,7,2,0,,,0,,,,,,
50,51,28,0,0,7,2,3,,,1,,,,,,
51,52,23,1,1,4,0,3,,,2,,,,,,
52,1,23,2,0,6,1,2,,,1,,,,,,
53,2,23,1,1,5,0,0,,,0,,,,,,
54,3,21,0,0,7,0,0,,,0,,,,,,
55,4,16,0,0,1,1,0,,,0,,,,,,
56,5,17,0,0,2,0,0,,,0,,,,,,
57,6,18,1,1,0,1,0,,,0,,,,,,
58,7,8,0,0,5,1,0,,,0,,,,,,
59,8,9,0,0,8,1,0,,,0,,,,,,
60,9,11,0,0,4,1,0,,,0,,,,,,
61,10,15,0,0,10,0,1,,,0,,,,,,
62,11,32,1,1,21,3,2,,,2,,,,,,
63,12,26,0,2,15,3,0,,,2,,,,,,
64,13,27,1,0,24,1,1,,,4,,,,,,
65,14,28,4,2,10,3,0,,,2,,,,,,
66,15,26,4,3,13,5,0,,,0,,,,,,
67,16,18,5,0,7,2,1,,,0,,,,,,
68,17,29,6,1,14,0,0,,,1,,,,,,
69,18,29,4,0,13,3,2,,,2,,,,,,
70,19,25,3,1,13,2,2,,,3,,,,,,
71,20,24,8,0,13,1,1,,,0,,,,,,
72,21,28,0,3,14,6,0,,,1,,,,,,
73,22,35,5,5,17,1,4,,,2,,,,,,
74,23,28,3,1,11,7,3,,,1,,,,,,
75,24,30,13,0,19,4,1,,,0,,,,,,
76,25,31,36,0,23,0,1,,,0,,,,,,
77,26,45,18,1,32,3,7,,,1,,,,,,
78,27,51,11,0,56,1,2,,,0,,,,,,
79,28,47,32,2,19,4,0,,,0,,,,,,
80,29,28,9,3,22,2,0,,,0,,,,,,
81,30,12,3,0,6,0,1,,,0,,,,,,
82,31,16,2,0,12,2,1,,,0,,,,,,
83,32,22,10,1,13,2,1,,,0,,,,,,
84,33,27,6,0,11,8,0,,,1,,,,,,
85,34,40,1,0,28,4,2,,,1,,,,,,
86,35,24,1,1,15,1,3,,,1,,,,,,
87,36,30,6,0,18,2,0,,,0,,,,,,
88,37,28,6,1,19,0,2,,,1,,,,,,
89,38,24,1,0,6,2,3,,,0,,,,,,
90,39,17,3,0,6,3,2,,,0,,,,,,
91,40,30,1,1,9,3,3,,,2,,,,,,
92,41,22,0,0,17,2,1,,,0,,,,,,
93,42,22,0,1,12,4,0,,,1,,,,,,
94,43,25,3,0,15,1,0,,,0,,,,,,
95,44,24,1,0,8,0,0,,,0,,,,,,
96,45,34,0,1,9,3,2,,,0,,,,,,
97,46,33,2,0,5,0,1,,,0,,,,,,
98,47,22,5,5,12,2,0,,,3,,,,,,
99,48,37,4,3,13,3,0,,,2,,,,,,
100,49,35,1,4,9,1,3,,,2,,,,,,
101,50,25,0,0,11,0,1,,,0,,,,,,
102,51,22,3,2,8,2,0,,,1,,,,,,
103,52,24,0,0,11,2,1,,,2,,,,,,
104,1,30,2,1,8,1,1,,,2,,,,,,
105,2,17,1,0,6,0,1,,,0,,,,,,
106,3,20,0,0,5,0,0,,,0,,,,,,
107,4,18,0,1,4,0,0,,,0,,,,,,
108,5,24,0,0,6,0,1,,,0,,,,,,
109,6,21,0,0,2,0,0,,,0,,,,,,
110,7,15,0,0,2,1,0,,,0,,,,,,
111,8,12,1,0,6,2,0,,,0,,,,,,
112,9,25,1,0,8,0,1,,,0,,,,,,
113,10,24,0,0,2,1,0,,,1,,,,,,
114,11,38,0,0,9,2,1,,,1,,,,,,
115,12,42,1,0,20,2,1,,,1,,,,,,
116,13,42,1,1,20,2,2,,,2,,,,,,
117,14,45,2,1,17,0,1,,,0,,,,,,
118,15,37,2,0,19,3,1,,,1,,,,,,
119,16,31,3,0,13,1,3,,,0,,,,,,
120,17,44,3,0,14,1,1,,,0,,,,,,
121,18,36,0,0,16,2,0,,,0,,,,,,
122,19,41,2,0,19,4,2,,,1,,,,,,
123,20,37,0,0,18,3,0,,,1,,,,,,
124,21,48,2,0,19,1,0,,,0,,,,,,
125,22,49,9,0,13,1,0,,,1,,,,,,
126,23,42,2,0,28,2,0,,,1,,,,,,
127,24,45,1,0,18,0,2,,,1,,,,,,
128,25,67,22,4,24,1,2,,,3,,,,,,
