,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,2,1,5,0,12,6,,,4,,,,,,
1,2,0,0,6,0,7,2,,,3,,,,,,
2,3,2,0,3,0,11,3,,,3,,,,,,
3,4,3,0,1,0,6,0,,,2,,,,,,
4,5,0,0,3,0,8,3,,,1,,,,,,
5,6,0,0,3,0,10,2,,,4,,,,,,
6,7,0,0,2,0,9,5,,,3,,,,,,
7,8,1,0,4,0,7,3,,,5,,,,,,
8,9,2,0,2,1,6,4,,,1,,,,,,
9,10,1,0,4,0,6,2,,,2,,,,,,
10,11,2,0,2,0,8,7,,,0,,,,,,
11,12,2,0,3,1,15,6,,,4,,,,,,
12,13,2,0,7,1,6,7,,,4,,,,,,
13,14,4,0,2,0,7,7,,,4,,,,,,
14,15,1,0,3,0,6,7,,,4,,,,,,
15,16,3,0,3,2,6,4,,,6,,,,,,
16,17,2,0,2,0,10,5,,,2,,,,,,
17,18,1,0,2,0,7,1,,,0,,,,,,
18,19,3,0,6,0,5,1,,,2,,,,,,
19,20,3,0,5,0,7,7,,,2,,,,,,
20,21,3,0,8,1,8,5,,,10,,,,,,
21,22,1,0,5,0,15,9,,,8,,,,,,
22,23,2,0,4,0,25,8,,,9,,,,,,
23,24,3,0,6,0,19,3,,,3,,,,,,
24,25,7,0,4,1,24,5,,,5,,,,,,
25,26,7,0,9,0,27,10,,,8,,,,,,
26,27,1,0,17,0,27,14,,,13,,,,,,
