,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,16,0,0,5,0,4,,,0,,,,,,
1,2,18,0,0,2,0,0,,,0,,,,,,
2,3,16,0,0,8,1,1,,,0,,,,,,
3,4,13,0,0,3,0,0,,,0,,,,,,
4,5,18,0,0,10,0,0,,,0,,,,,,
5,6,10,0,0,3,0,0,,,0,,,,,,
6,7,16,0,0,2,0,2,,,0,,,,,,
7,8,11,0,0,3,0,1,,,0,,,,,,
8,9,12,0,0,3,0,0,,,1,,,,,,
9,10,9,0,2,4,0,0,,,0,,,,,,
10,11,17,0,0,14,0,0,,,0,,,,,,
11,12,14,0,0,10,0,1,,,0,,,,,,
12,13,20,0,0,13,0,4,,,0,,,,,,
13,14,12,1,0,19,0,0,,,1,,,,,,
14,15,10,0,2,19,0,2,,,1,,,,,,
15,16,16,0,1,13,0,2,,,1,,,,,,
16,17,19,0,0,13,0,1,,,0,,,,,,
17,18,15,0,0,16,0,0,,,0,,,,,,
18,19,11,0,0,21,0,1,,,0,,,,,,
19,20,21,0,0,19,0,1,,,3,,,,,,
20,21,9,0,0,17,1,2,,,2,,,,,,
21,22,14,1,1,12,0,3,,,1,,,,,,
22,23,13,0,0,17,1,2,,,0,,,,,,
23,24,17,1,3,20,0,2,,,3,,,,,,
24,25,26,0,4,29,1,2,,,7,,,,,,
25,26,36,3,1,32,0,3,,,3,,,,,,
26,27,27,1,4,34,0,1,,,6,,,,,,
27,28,25,1,2,26,0,1,,,2,,,,,,
28,29,22,2,4,46,0,2,,,9,,,,,,
29,30,25,0,1,48,0,2,,,6,,,,,,
30,31,10,1,8,28,0,1,,,6,,,,,,
31,32,16,0,2,30,0,0,,,5,,,,,,
32,33,8,1,5,21,0,4,,,6,,,,,,
33,34,14,0,0,26,0,0,,,1,,,,,,
34,35,26,0,0,16,0,0,,,3,,,,,,
35,36,20,0,0,14,0,2,,,3,,,,,,
36,37,34,0,1,19,0,2,,,1,,,,,,
37,38,15,1,2,16,0,1,,,1,,,,,,
38,39,24,0,2,14,0,0,,,2,,,,,,
39,40,15,0,0,22,0,2,,,0,,,,,,
40,41,27,0,2,14,0,1,,,0,,,,,,
41,42,12,0,0,14,0,1,,,3,,,,,,
42,43,10,0,0,6,0,3,,,1,,,,,,
43,44,16,0,0,3,0,0,,,0,,,,,,
44,45,8,0,0,6,0,1,,,0,,,,,,
45,46,9,1,0,12,0,1,,,0,,,,,,
46,47,10,0,5,10,0,2,,,0,,,,,,
47,48,10,0,0,8,0,1,,,1,,,,,,
48,49,14,0,0,15,0,1,,,0,,,,,,
49,50,11,1,0,1,0,2,,,0,,,,,,
50,51,16,0,1,8,0,0,,,1,,,,,,
51,52,14,1,0,11,0,3,,,0,,,,,,
52,1,8,0,0,11,0,1,,,2,,,,,,
53,2,9,0,0,6,0,1,,,1,,,,,,
54,3,9,0,0,8,0,0,,,0,,,,,,
55,4,9,0,0,10,0,1,,,0,,,,,,
56,5,4,0,1,3,0,2,,,0,,,,,,
57,6,9,0,0,3,0,1,,,0,,,,,,
58,7,4,0,0,7,0,1,,,1,,,,,,
59,8,8,0,0,2,1,0,,,0,,,,,,
60,9,13,0,0,7,0,1,,,0,,,,,,
61,10,18,0,0,3,0,1,,,1,,,,,,
62,11,17,0,0,8,0,0,,,0,,,,,,
63,12,36,0,0,10,0,1,,,0,,,,,,
64,13,17,0,0,10,0,0,,,0,,,,,,
65,14,27,0,0,11,0,2,,,1,,,,,,
66,15,18,0,1,9,0,0,,,0,,,,,,
67,16,16,0,0,7,0,1,,,0,,,,,,
68,17,22,0,1,14,0,1,,,3,,,,,,
69,18,17,0,0,11,0,1,,,1,,,,,,
70,19,16,0,0,13,0,0,,,1,,,,,,
71,20,20,0,0,12,0,1,,,1,,,,,,
72,21,22,0,0,20,0,1,,,3,,,,,,
73,22,26,1,3,17,0,2,,,6,,,,,,
74,23,22,0,8,20,0,1,,,4,,,,,,
75,24,22,0,0,30,0,1,,,3,,,,,,
76,25,11,0,0,39,0,4,,,9,,,,,,
77,26,26,0,1,33,0,1,,,9,,,,,,
78,27,21,1,0,53,0,3,,,11,,,,,,
79,28,30,1,0,53,0,0,,,10,,,,,,
80,29,22,0,2,36,0,0,,,4,,,,,,
81,30,26,0,0,22,0,1,,,8,,,,,,
82,31,16,0,2,18,0,1,,,4,,,,,,
83,32,14,0,0,13,0,1,,,1,,,,,,
84,33,14,0,0,13,0,1,,,3,,,,,,
85,34,17,0,1,15,0,1,,,2,,,,,,
86,35,13,0,0,16,0,1,,,2,,,,,,
87,36,15,1,1,17,0,0,,,0,,,,,,
88,37,19,1,0,14,0,3,,,1,,,,,,
89,38,9,0,0,16,1,2,,,0,,,,,,
90,39,13,0,0,17,1,1,,,3,,,,,,
91,40,20,0,1,12,0,2,,,1,,,,,,
92,41,9,0,2,11,0,3,,,1,,,,,,
93,42,14,0,0,15,0,2,,,0,,,,,,
94,43,23,0,0,15,0,0,,,0,,,,,,
95,44,18,0,1,18,0,2,,,4,,,,,,
96,45,12,0,2,18,0,1,,,1,,,,,,
97,46,17,0,0,10,0,0,,,0,,,,,,
98,47,12,0,0,6,0,0,,,1,,,,,,
99,48,20,0,0,10,0,1,,,0,,,,,,
100,49,13,0,1,10,0,0,,,1,,,,,,
101,50,23,1,0,16,0,0,,,2,,,,,,
102,51,11,1,0,10,0,1,,,2,,,,,,
103,52,9,0,0,6,0,0,,,0,,,,,,
104,1,6,1,1,9,0,0,,,0,,,,,,
105,2,10,3,0,5,0,1,,,0,,,,,,
106,3,6,0,0,6,0,0,,,0,,,,,,
107,4,14,0,0,6,0,0,,,1,,,,,,
108,5,5,0,0,7,0,2,,,0,,,,,,
109,6,8,0,0,3,0,0,,,0,,,,,,
110,7,13,1,1,7,0,0,,,1,,,,,,
111,8,7,0,0,8,0,2,,,0,,,,,,
112,9,8,0,0,5,0,3,,,2,,,,,,
113,10,6,0,0,3,0,1,,,0,,,,,,
114,11,20,0,0,7,0,2,,,0,,,,,,
115,12,22,0,0,9,0,2,,,0,,,,,,
116,13,19,0,0,11,0,3,,,0,,,,,,
117,14,18,0,0,16,0,0,,,1,,,,,,
118,15,20,0,0,10,0,0,,,0,,,,,,
