,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
0,0.0,28.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,69.3,10.6,16.7,13.0,24.9,42.0,11.8
1,1.0,29.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,67.3,11.3,17.9,13.1,26.6,36.5,10.2
2,2.0,13.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,62.6,14.8,22.6,17.4,29.7,31.0,10.9
3,3.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,64.6,16.4,23.8,19.2,30.8,35.2,13.0
4,4.0,33.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,70.3,14.4,20.1,16.6,25.9,33.6,12.5
5,5.0,25.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,67.1,7.7,14.5,9.1,20.7,39.9,12.1
6,6.0,21.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,60.8,12.5,21.0,15.2,29.4,32.0,9.0
7,7.0,20.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,62.2,14.7,22.9,17.9,30.6,29.2,9.1
52,52.0,23.0,2.0,0.0,6.0,1.0,2.0,1.0,0.0,0.0,71.9,9.4,14.9,10.7,22.2,27.3,7.9
53,53.0,23.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,64.2,10.6,18.3,12.7,25.4,25.3,10.1
54,54.0,21.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,65.7,12.4,19.4,15.1,27.4,29.0,11.0
55,55.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.9,12.7,19.5,14.6,28.2,29.3,10.9
56,56.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.3,11.9,18.3,13.7,26.3,30.0,11.8
57,57.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.1,5.8,15.6,9.3,24.2,32.9,12.2
58,58.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,68.3,13.6,20.0,15.5,27.5,30.7,10.3
59,59.0,9.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,68.1,13.6,20.1,15.8,28.5,23.7,7.4
104,104.0,30.0,2.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,61.9,7.5,16.9,11.3,25.9,31.2,9.3
105,105.0,17.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,66.2,10.1,17.2,12.1,26.0,25.6,7.1
106,106.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,67.2,12.2,19.0,14.8,26.9,34.6,13.3
107,107.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,63.6,13.0,20.8,15.5,28.9,29.1,8.2
108,108.0,24.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,65.2,12.5,19.9,15.0,27.6,26.4,7.8
109,109.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62.1,6.3,14.7,9.7,23.7,26.0,7.2
110,110.0,15.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,63.9,12.0,19.7,14.7,28.4,33.3,8.9
111,111.0,12.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,64.9,13.4,20.9,16.0,29.4,24.9,6.7
156,156.0,14.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,67.8,9.2,15.8,10.7,23.6,23.7,7.2
