,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
25,25.0,113.0,28.0,4.0,73.0,0.0,0.0,0.0,0.0,0.0,72.4,10.5,15.9,10.9,23.5,35.9,14.6
26,26.0,67.0,9.0,6.0,76.0,0.0,1.0,3.0,0.0,0.0,69.3,9.4,15.6,11.8,23.6,61.5,19.6
27,27.0,64.0,13.0,5.0,61.0,0.0,0.0,7.0,0.0,0.0,70.9,8.3,13.8,9.6,22.0,44.9,19.2
28,28.0,53.0,6.0,3.0,82.0,2.0,1.0,4.0,0.0,0.0,63.9,4.5,12.3,6.6,19.4,62.1,24.4
29,29.0,36.0,2.0,3.0,49.0,0.0,1.0,2.0,0.0,0.0,74.0,7.1,12.3,7.0,20.3,52.6,24.9
30,30.0,22.0,1.0,12.0,36.0,0.0,0.0,4.0,0.0,0.0,68.0,10.7,17.3,11.7,24.4,42.8,20.2
31,31.0,30.0,3.0,1.0,43.0,0.0,0.0,6.0,0.0,0.0,65.3,7.6,14.8,9.3,22.5,35.3,13.9
32,32.0,36.0,2.0,12.0,40.0,0.0,2.0,2.0,0.0,0.0,69.6,8.0,14.2,9.3,21.2,46.6,24.6
33,33.0,37.0,3.0,6.0,41.0,0.0,0.0,1.0,0.0,0.0,66.7,7.5,14.2,10.0,22.7,39.2,15.8
77,77.0,34.0,12.0,3.0,59.0,2.0,4.0,3.0,0.0,0.0,71.9,8.5,13.9,10.1,20.7,40.2,14.5
78,78.0,48.0,0.0,4.0,82.0,1.0,5.0,6.0,0.0,0.0,61.2,7.6,16.3,10.6,25.3,42.0,14.0
79,79.0,60.0,8.0,4.0,49.0,1.0,0.0,1.0,0.0,0.0,69.6,7.8,14.2,8.7,20.9,52.4,23.8
80,80.0,45.0,1.0,2.0,65.0,0.0,0.0,2.0,0.0,0.0,64.6,5.2,12.4,8.3,18.3,45.3,16.6
81,81.0,44.0,3.0,3.0,29.0,0.0,0.0,1.0,0.0,0.0,59.4,3.0,12.2,7.0,20.1,53.3,20.8
