,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
8,8.0,21.0,0.0,2.0,2.0,13.0,2.0,1.0,0.0,0.0,64.8,13.5,20.7,15.8,27.4,34.6,9.9
9,9.0,25.0,0.0,3.0,0.0,15.0,5.0,3.0,0.0,0.0,65.8,7.6,14.9,10.2,23.3,53.8,15.2
10,10.0,24.0,0.0,2.0,0.0,13.0,5.0,3.0,0.0,0.0,71.2,13.0,18.7,14.0,27.5,39.7,11.3
11,11.0,27.0,4.0,4.0,3.0,9.0,2.0,2.0,0.0,0.0,70.1,13.0,19.0,14.3,26.1,40.1,11.4
12,12.0,28.0,0.0,3.0,0.0,10.0,3.0,3.0,0.0,0.0,66.7,12.6,19.4,14.4,26.9,42.6,10.8
13,13.0,36.0,0.0,2.0,2.0,12.0,8.0,2.0,0.0,0.0,71.0,9.6,15.2,11.3,21.3,46.7,12.0
14,14.0,25.0,1.0,3.0,1.0,7.0,4.0,3.0,0.0,0.0,69.3,10.6,16.8,11.4,27.3,49.1,13.3
15,15.0,25.0,1.0,1.0,1.0,22.0,5.0,2.0,0.0,0.0,65.7,11.2,18.3,13.7,25.6,49.5,15.5
16,16.0,21.0,2.0,2.0,2.0,16.0,4.0,2.0,0.0,0.0,70.9,9.6,15.6,9.8,24.6,56.2,17.4
60,60.0,15.0,1.0,2.0,0.0,7.0,4.0,5.0,0.0,0.0,68.1,11.5,18.0,12.8,26.2,27.3,9.6
61,61.0,26.0,0.0,4.0,0.0,7.0,5.0,2.0,0.0,0.0,69.9,7.8,14.0,9.2,24.7,42.2,12.1
62,62.0,30.0,0.0,2.0,0.0,18.0,5.0,4.0,0.0,0.0,68.0,11.6,18.2,12.6,26.4,39.7,11.7
63,63.0,42.0,1.0,4.0,0.0,10.0,2.0,3.0,0.0,0.0,69.3,10.8,17.1,11.3,26.5,39.3,11.3
64,64.0,23.0,0.0,1.0,0.0,20.0,4.0,3.0,0.0,0.0,69.7,11.2,17.3,12.4,25.7,37.7,13.4
65,65.0,23.0,1.0,3.0,1.0,16.0,3.0,3.0,0.0,0.0,70.8,8.8,14.5,10.3,21.4,30.0,10.9
66,66.0,27.0,0.0,2.0,0.0,7.0,8.0,3.0,0.0,0.0,70.4,10.2,16.2,12.1,24.1,27.8,10.0
67,67.0,26.0,0.0,1.0,0.0,12.0,4.0,1.0,0.0,0.0,77.2,10.9,15.2,11.2,22.8,41.8,19.2
68,68.0,21.0,1.0,6.0,0.0,13.0,2.0,3.0,0.0,0.0,74.8,10.6,15.5,11.2,23.3,39.3,16.3
112,112.0,16.0,0.0,1.0,0.0,11.0,2.0,2.0,0.0,0.0,66.7,12.4,19.3,14.6,27.5,24.1,7.3
113,113.0,12.0,0.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,66.4,6.9,14.1,7.5,22.6,33.2,8.6
114,114.0,21.0,0.0,2.0,0.0,8.0,4.0,4.0,0.0,0.0,69.9,12.0,18.1,13.6,26.8,37.7,11.3
115,115.0,30.0,1.0,1.0,1.0,16.0,9.0,5.0,0.0,0.0,72.5,11.4,17.0,12.4,26.4,38.6,12.3
116,116.0,38.0,2.0,4.0,0.0,16.0,4.0,1.0,0.0,0.0,69.5,11.8,17.9,13.6,25.7,27.2,10.4
117,117.0,29.0,0.0,2.0,0.0,8.0,3.0,2.0,0.0,0.0,69.7,8.6,14.7,10.4,22.6,38.7,10.0
118,118.0,22.0,1.0,4.0,0.0,8.0,7.0,3.0,0.0,0.0,69.7,9.5,15.7,10.7,24.8,38.0,16.2
119,119.0,25.0,0.0,2.0,0.0,6.0,7.0,3.0,0.0,0.0,71.4,9.7,15.2,11.7,21.9,31.4,13.1
120,120.0,16.0,2.0,4.0,1.0,7.0,5.0,5.0,0.0,0.0,70.8,10.0,15.8,11.2,23.2,41.7,11.9
164,164.0,15.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,69.1,12.2,18.6,14.0,26.5,36.0,11.4
165,165.0,27.0,4.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,64.5,7.3,14.7,8.9,22.7,28.1,12.6
166,166.0,30.0,0.0,2.0,0.0,9.0,6.0,6.0,0.0,0.0,68.4,11.5,18.2,13.3,27.4,33.5,10.5
167,167.0,123.0,10.0,3.0,0.0,13.0,4.0,1.0,0.0,0.0,73.6,12.6,17.8,13.9,25.3,25.6,9.1
168,168.0,100.0,0.0,1.0,0.0,21.0,4.0,3.0,0.0,0.0,68.8,12.7,19.1,14.4,27.5,28.4,7.7
169,169.0,35.0,0.0,2.0,1.0,5.0,18.0,1.0,1.0,1.0,62.3,6.6,15.3,10.1,22.9,29.2,9.7
170,170.0,41.0,15.0,3.0,0.0,7.0,3.0,3.0,0.0,0.0,69.6,10.5,16.6,11.8,24.7,28.2,9.0
171,171.0,17.0,7.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,72.6,10.3,15.7,11.2,23.3,38.1,13.2
172,172.0,27.0,10.0,1.0,1.0,11.0,3.0,2.0,0.0,0.0,76.5,10.2,14.8,10.2,23.1,27.8,10.4
