,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
17,17.0,15.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,69.6,10.7,16.9,11.4,24.7,42.2,16.1
18,18.0,11.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,65.8,9.2,16.4,11.3,24.2,48.0,13.8
19,19.0,21.0,0.0,0.0,19.0,0.0,1.0,3.0,0.0,0.0,68.4,8.7,14.9,10.7,20.5,87.8,14.9
20,20.0,9.0,0.0,0.0,17.0,1.0,2.0,2.0,0.0,0.0,68.3,8.3,14.3,9.7,21.7,71.9,16.8
21,21.0,14.0,1.0,1.0,12.0,0.0,3.0,1.0,0.0,0.0,64.7,10.1,17.5,12.3,24.9,79.5,26.0
22,22.0,13.0,0.0,0.0,17.0,1.0,2.0,0.0,0.0,0.0,68.3,8.2,14.6,9.7,22.7,57.6,18.0
23,23.0,17.0,1.0,3.0,20.0,0.0,2.0,3.0,0.0,0.0,72.5,9.0,14.2,9.5,21.3,41.0,13.1
24,24.0,26.0,0.0,4.0,29.0,1.0,2.0,7.0,0.0,0.0,72.6,7.9,13.1,8.1,20.0,36.7,12.5
69,69.0,17.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,66.6,9.4,16.7,11.7,25.3,39.0,17.8
70,70.0,16.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,65.6,8.7,15.8,10.0,22.4,39.3,13.4
71,71.0,20.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,71.1,8.2,14.0,9.8,21.6,60.3,26.2
72,72.0,22.0,0.0,0.0,20.0,0.0,1.0,3.0,0.0,0.0,67.7,6.5,13.1,7.0,20.7,69.2,30.6
73,73.0,26.0,1.0,3.0,17.0,0.0,2.0,6.0,0.0,0.0,68.0,10.3,17.0,12.1,24.8,60.4,26.4
74,74.0,22.0,0.0,8.0,20.0,0.0,1.0,4.0,0.0,0.0,62.7,6.8,15.5,9.2,24.4,68.2,18.8
75,75.0,22.0,0.0,0.0,30.0,0.0,1.0,3.0,0.0,0.0,52.4,2.7,14.2,7.7,22.7,84.4,22.8
76,76.0,11.0,0.0,0.0,39.0,0.0,4.0,9.0,0.0,0.0,76.8,6.8,11.1,7.1,17.7,37.8,15.8
121,121.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,65.5,10.3,17.7,12.6,25.5,31.2,11.4
122,122.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,67.3,7.9,14.6,9.2,23.2,40.2,13.6
123,123.0,25.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,71.7,7.0,12.5,7.8,20.2,37.7,12.1
124,124.0,29.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,51.2,1.9,14.6,9.4,22.0,66.7,16.7
125,125.0,23.0,0.0,0.0,25.0,0.0,1.0,3.0,0.0,0.0,64.3,10.5,18.0,13.0,25.7,53.5,14.4
126,126.0,27.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,68.2,7.8,14.2,8.8,21.7,60.7,20.0
127,127.0,23.0,0.0,0.0,24.0,0.0,3.0,3.0,0.0,0.0,52.3,0.7,12.9,6.9,21.6,46.6,16.1
128,128.0,20.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,67.1,5.8,13.6,8.7,21.8,76.2,23.0
173,173.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,65.6,9.2,16.8,11.9,24.8,35.9,11.6
174,174.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.4,9.4,15.5,11.9,22.8,40.8,15.5
175,175.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.5,4.2,13.4,7.9,21.0,50.2,16.3
176,176.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,6.6,13.2,8.7,19.8,47.5,15.4
177,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,9.2,17.0,11.9,24.9,39.6,14.9
178,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,6.8,14.8,8.8,23.9,50.1,13.9
179,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.9,6.2,13.6,8.0,21.9,68.6,19.4
180,180.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.9,3.7,12.4,5.9,21.8,53.1,15.4
226,226.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,74.1,9.1,14.1,10.2,21.5,33.9,9.1
227,227.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.7,6.2,12.6,7.7,20.3,59.9,19.6
228,228.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8,9.0,16.4,10.9,25.0,54.4,14.4
229,229.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,7.2,16.0,10.5,24.7,87.2,21.8
230,230.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,62.3,3.7,12.0,6.6,20.8,54.8,15.5
231,231.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,68.0,6.3,12.6,7.8,20.5,60.9,21.2
232,232.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,70.7,7.4,13.3,8.6,21.3,38.7,13.5
233,233.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.5,7.8,15.9,11.0,24.7,62.7,18.0
