,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
43,43.0,55.0,1.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,65.1,10.8,18.1,12.2,26.4,40.7,14.1
44,44.0,40.0,0.0,2.0,18.0,1.0,0.0,1.0,0.0,0.0,72.3,9.1,14.3,10.7,22.2,34.7,9.7
45,45.0,39.0,5.0,3.0,24.0,0.0,1.0,3.0,0.0,0.0,66.6,10.4,17.2,12.4,25.8,31.1,9.7
46,46.0,49.0,3.0,6.0,14.0,0.0,0.0,1.0,0.0,0.0,69.7,10.5,16.5,11.8,24.5,34.0,12.8
47,47.0,30.0,3.0,2.0,15.0,1.0,0.0,2.0,0.0,0.0,65.3,11.1,18.4,13.1,27.2,27.6,10.8
48,48.0,39.0,2.0,1.0,14.0,1.0,0.0,2.0,0.0,0.0,68.4,8.1,14.2,10.1,20.4,28.2,12.1
49,49.0,36.0,2.0,0.0,16.0,1.0,1.0,2.0,0.0,0.0,66.5,11.3,18.1,13.4,25.8,25.0,9.6
50,50.0,43.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,65.1,12.1,19.4,14.6,27.7,32.3,11.1
51,51.0,38.0,2.0,0.0,18.0,1.0,2.0,0.0,0.0,0.0,67.1,12.6,19.1,15.2,26.9,24.4,7.9
95,95.0,41.0,1.0,2.0,15.0,1.0,1.0,0.0,0.0,0.0,63.5,11.1,18.8,13.3,26.2,35.2,8.4
96,96.0,37.0,2.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,66.1,7.6,14.7,9.7,22.6,33.1,8.2
97,97.0,40.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,63.7,10.5,18.4,12.7,27.1,60.7,13.4
98,98.0,36.0,2.0,3.0,16.0,0.0,2.0,1.0,0.0,0.0,69.3,11.8,17.8,14.2,25.5,31.8,8.2
99,99.0,32.0,3.0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,67.9,11.9,18.4,14.5,26.4,31.2,7.4
100,100.0,35.0,2.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,71.0,8.0,13.8,9.2,22.4,36.7,9.1
101,101.0,34.0,2.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,59.3,9.5,18.6,12.8,26.8,56.3,12.5
