,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,119,7,11,17,24,16,,,10,,,,,,
1,2,98,4,12,11,18,16,,,7,,,,,,
2,3,86,4,6,15,23,8,,,4,,,,,,
3,4,96,4,4,13,15,2,,,6,,,,,,
4,5,104,3,7,21,19,13,,,4,,,,,,
5,6,87,5,5,9,21,11,,,9,,,,,,
6,7,71,1,7,11,16,14,,,5,,,,,,
7,8,59,3,7,12,15,11,,,11,,,,,,
8,9,67,0,4,13,20,7,,,4,,,,,,
9,10,98,0,11,19,21,9,,,5,,,,,,
10,11,115,0,5,54,22,17,,,5,,,,,,
11,12,115,4,7,59,25,12,,,8,,,,,,
12,13,123,1,10,49,17,20,,,8,,,,,,
13,14,135,12,4,64,19,17,,,7,,,,,,
14,15,102,4,8,67,15,14,,,8,,,,,,
15,16,117,2,5,64,28,15,,,9,,,,,,
16,17,115,4,4,56,28,10,,,5,,,,,,
17,18,125,15,10,71,21,6,,,9,,,,,,
18,19,130,2,11,100,19,17,,,7,,,,,,
19,20,126,10,6,74,32,16,,,5,,,,,,
20,21,93,3,18,52,35,14,,,19,,,,,,
21,22,85,6,14,51,41,15,,,15,,,,,,
22,23,168,12,9,84,81,15,,,13,,,,,,
23,24,223,31,24,114,64,9,,,17,,,,,,
24,25,287,40,21,150,96,19,,,19,,,,,,
25,26,296,64,21,126,102,21,,,20,,,,,,
26,27,196,40,42,132,68,23,,,28,,,,,,
27,28,179,29,33,115,63,7,,,23,,,,,,
28,29,155,13,23,152,65,30,,,33,,,,,,
29,30,131,13,26,117,57,19,,,29,,,,,,
30,31,79,6,39,73,42,10,,,25,,,,,,
31,32,94,8,22,87,32,11,,,25,,,,,,
32,33,86,11,33,67,47,15,,,19,,,,,,
33,34,98,11,16,84,34,15,,,15,,,,,,
34,35,149,3,10,66,34,14,,,15,,,,,,
35,36,154,8,17,80,42,17,,,20,,,,,,
36,37,194,2,19,70,41,13,,,12,,,,,,
37,38,179,12,18,72,49,10,,,15,,,,,,
38,39,153,13,21,64,40,10,,,14,,,,,,
39,40,155,13,12,81,41,17,,,10,,,,,,
40,41,194,7,16,62,24,16,,,8,,,,,,
