,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'TminB'}),frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
1,frozenset({'TB'}),frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
254,"frozenset({'IRASu_MB', 'TM', 'COVIDuB'})","frozenset({'COVIDhB', 'TminM'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
255,"frozenset({'IRASu_MB', 'COVIDhB', 'TM'})","frozenset({'TminM', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
312,"frozenset({'TminM', 'INFu_B', 'COVIDuB'})","frozenset({'COVIDhB', 'TM'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
313,"frozenset({'COVIDhB', 'TminM', 'INFu_B'})","frozenset({'TM', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
193,"frozenset({'TminM', 'NNIAu_M'})","frozenset({'TmaxMA', 'TM'})",0.225,0.325,0.225,1.0,3.0769230769230766,0.15187499999999998,inf
71,"frozenset({'TM', 'MP10MB'})",frozenset({'TminM'}),0.25,0.375,0.25,1.0,2.6666666666666665,0.15625,inf
91,"frozenset({'IRASu_MB', 'TM', 'COVIDuB'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
106,"frozenset({'COVIDhB', 'IRASu_MB', 'TM'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
171,"frozenset({'TmaxMA', 'TM', 'INFu_B'})",frozenset({'TminM'}),0.225,0.375,0.225,1.0,2.6666666666666665,0.140625,inf
179,"frozenset({'INFu_B', 'TM', 'MP10MB'})",frozenset({'TminM'}),0.225,0.375,0.225,1.0,2.6666666666666665,0.140625,inf
227,"frozenset({'TmaxMA', 'TM', 'MP10MB'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
252,"frozenset({'IRASu_MB', 'COVIDhB', 'TM', 'COVIDuB'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
24,"frozenset({'TminM', 'INFu_B'})",frozenset({'TM'}),0.275,0.4,0.275,1.0,2.5,0.165,inf
32,"frozenset({'TminM', 'NNIAu_M'})",frozenset({'TM'}),0.225,0.4,0.225,1.0,2.5,0.135,inf
36,"frozenset({'NNIAu_M', 'TmaxMA'})",frozenset({'TM'}),0.25,0.4,0.25,1.0,2.5,0.15,inf
60,"frozenset({'TminM', 'RM'})",frozenset({'TM'}),0.225,0.4,0.225,1.0,2.5,0.135,inf
64,"frozenset({'TmaxMA', 'RM'})",frozenset({'TM'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
148,"frozenset({'COVIDuB', 'TminM', 'INFu_B'})",frozenset({'TM'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
162,"frozenset({'COVIDhB', 'TminM', 'INFu_B'})",frozenset({'TM'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
170,"frozenset({'TminM', 'TmaxMA', 'INFu_B'})",frozenset({'TM'}),0.225,0.4,0.225,1.0,2.5,0.135,inf
178,"frozenset({'TminM', 'INFu_B', 'MP10MB'})",frozenset({'TM'}),0.225,0.4,0.225,1.0,2.5,0.135,inf
190,"frozenset({'TminM', 'NNIAu_M', 'TmaxMA'})",frozenset({'TM'}),0.225,0.4,0.225,1.0,2.5,0.135,inf
