,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
128,"frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
131,"frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
154,"frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
157,"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
766,"frozenset({'COVID19_Confirmado_h_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
767,"frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
768,"frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo', 'COVID19_Confirmado_u_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
771,"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
772,"frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
773,"frozenset({'Temperatura_Bajo', 'IRA_Alta_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
130,"frozenset({'IRA_Alta_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
156,"frozenset({'IRA_Alta_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
340,"frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
341,"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
