,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2,frozenset({'TminB'}),frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
3,frozenset({'TB'}),frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
16,"frozenset({'TminB', 'INFu_B'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
17,"frozenset({'TB', 'INFu_B'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
18,frozenset({'TminB'}),"frozenset({'TB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
19,frozenset({'TB'}),"frozenset({'TminB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
30,"frozenset({'TminB', 'BROIu_B'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
31,"frozenset({'TB', 'BROIu_B'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
32,frozenset({'TminB'}),"frozenset({'TB', 'BROIu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
33,frozenset({'TB'}),"frozenset({'TminB', 'BROIu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
98,"frozenset({'TB', 'BROIu_B', 'INFu_B'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
99,"frozenset({'TminB', 'BROIu_B', 'INFu_B'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
100,"frozenset({'TB', 'BROIu_B'})","frozenset({'TminB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
101,"frozenset({'TB', 'INFu_B'})","frozenset({'TminB', 'BROIu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
102,"frozenset({'TminB', 'BROIu_B'})","frozenset({'TB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
103,"frozenset({'TminB', 'INFu_B'})","frozenset({'TB', 'BROIu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
104,frozenset({'TB'}),"frozenset({'TminB', 'BROIu_B', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
105,frozenset({'TminB'}),"frozenset({'TB', 'BROIu_B', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
423,"frozenset({'INFu_B', 'TminM', 'COVIDuB'})","frozenset({'TM', 'COVIDhB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
477,"frozenset({'TminM', 'COVIDuB', 'BROIu_B'})","frozenset({'TM', 'COVIDhB'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
494,"frozenset({'INFu_B', 'TminM', 'COVIDuB', 'BROIu_B'})","frozenset({'TM', 'COVIDhB'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
507,"frozenset({'TminM', 'COVIDuB', 'BROIu_B'})","frozenset({'TM', 'COVIDhB', 'INFu_B'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
186,"frozenset({'TM', 'NNIAu_M'})","frozenset({'TminM', 'BROIu_B'})",0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
251,"frozenset({'TminM', 'CSRhMB'})","frozenset({'TM', 'TmaxMA'})",0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
439,"frozenset({'TM', 'COVIDhB', 'TmaxMA'})","frozenset({'INFu_B', 'TminM'})",0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
458,"frozenset({'MP10MB', 'TM', 'COVIDhB'})","frozenset({'INFu_B', 'TminM'})",0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
24,"frozenset({'TM', 'NNIAu_M'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
82,"frozenset({'TM', 'MP10MB'})",frozenset({'TminM'}),0.25,0.375,0.25,1.0,2.6666666666666665,0.15625,inf
176,"frozenset({'TM', 'MP10MB', 'INFu_B'})",frozenset({'TminM'}),0.225,0.375,0.225,1.0,2.6666666666666665,0.140625,inf
184,"frozenset({'TM', 'BROIu_B', 'NNIAu_M'})",frozenset({'TminM'}),0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
188,"frozenset({'TminM', 'NNIAu_M'})","frozenset({'TM', 'BROIu_B'})",0.2,0.375,0.2,1.0,2.6666666666666665,0.125,inf
212,"frozenset({'TminM', 'RM'})","frozenset({'TM', 'BROIu_B'})",0.225,0.375,0.225,1.0,2.6666666666666665,0.140625,inf
