,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'TminB'}),frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
1,frozenset({'TB'}),frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
6,"frozenset({'TminB', 'INFu_B'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
7,"frozenset({'TB', 'INFu_B'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
8,frozenset({'TminB'}),"frozenset({'TB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
9,frozenset({'TB'}),"frozenset({'TminB', 'INFu_B'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
20,"frozenset({'TminB', 'COBuB'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
21,"frozenset({'TB', 'COBuB'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
22,frozenset({'TminB'}),"frozenset({'TB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
23,frozenset({'TB'}),"frozenset({'TminB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
52,"frozenset({'TminB', 'COVIDuB'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
53,"frozenset({'TB', 'COVIDuB'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
54,frozenset({'TminB'}),"frozenset({'TB', 'COVIDuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
55,frozenset({'TB'}),"frozenset({'TminB', 'COVIDuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
60,"frozenset({'TminB', 'COVIDhB'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
61,"frozenset({'TB', 'COVIDhB'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
62,frozenset({'TminB'}),"frozenset({'TB', 'COVIDhB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
63,frozenset({'TB'}),"frozenset({'TminB', 'COVIDhB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
106,"frozenset({'INFu_B', 'TminB', 'COBuB'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
107,"frozenset({'INFu_B', 'TB', 'COBuB'})",frozenset({'TminB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
108,"frozenset({'INFu_B', 'TminB'})","frozenset({'TB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
109,"frozenset({'INFu_B', 'TB'})","frozenset({'TminB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
110,"frozenset({'TminB', 'COBuB'})","frozenset({'INFu_B', 'TB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
111,"frozenset({'TB', 'COBuB'})","frozenset({'INFu_B', 'TminB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
112,frozenset({'TminB'}),"frozenset({'INFu_B', 'TB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
113,frozenset({'TB'}),"frozenset({'INFu_B', 'TminB', 'COBuB'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
168,"frozenset({'TminB', 'COVIDuB', 'INFu_B'})",frozenset({'TB'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
