,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
316,"frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
317,"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})","frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
2,frozenset({'Rocio_Bajo'}),frozenset({'Temperatura_min_Bajo'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
48,"frozenset({'Temperatura_Bajo', 'Rocio_Bajo'})",frozenset({'Temperatura_min_Bajo'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
52,frozenset({'Rocio_Bajo'}),"frozenset({'Temperatura_Bajo', 'Temperatura_min_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1725,"frozenset({'Influenza_Bajo', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1771,"frozenset({'Influenza_Bajo', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2796,"frozenset({'Influenza_Bajo', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2797,"frozenset({'Crisis_obstructiva_bronquial_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2825,"frozenset({'Influenza_Bajo', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1,frozenset({'Rocio_Bajo'}),frozenset({'Temperatura_Bajo'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
5,frozenset({'Temperatura_min_Bajo'}),frozenset({'Temperatura_Bajo'}),0.25,0.275,0.25,1.0,3.6363636363636362,0.18125,inf
29,"frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})",frozenset({'Temperatura_Bajo'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
39,"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",frozenset({'Temperatura_Bajo'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
50,"frozenset({'Rocio_Bajo', 'Temperatura_min_Bajo'})",frozenset({'Temperatura_Bajo'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
313,"frozenset({'COVID19_Confirmado_h_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Bajo'})",frozenset({'Temperatura_Bajo'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
660,"frozenset({'Influenza_Bajo', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1711,"frozenset({'Crisis_obstructiva_bronquial_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'Temperatura_min_Medio', 'Temperatura_max_Alto'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1729,"frozenset({'Temperatura_min_Medio', 'Crisis_obstructiva_bronquial_Medio', 'Bronquitis_bronquiolitis_Medio'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
