,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
431,"frozenset({'Temperatura_Bajo', 'MP10_Medio'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2222222222222222,0.2,1.0,4.5,0.15555555555555556,inf
432,"frozenset({'Temperatura_Bajo', 'Crisis_obstructiva_bronquial_Bajo'})","frozenset({'MP10_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.2222222222222222,0.2,1.0,4.5,0.15555555555555556,inf
231,"frozenset({'Temperatura_Bajo', 'Crisis_obstructiva_bronquial_Bajo'})","frozenset({'MP10_Medio', 'Temperatura_min_Bajo'})",0.2,0.24444444444444444,0.2,1.0,4.090909090909091,0.1511111111111111,inf
296,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})",0.2222222222222222,0.24444444444444444,0.2222222222222222,1.0,4.090909090909091,0.16790123456790124,inf
297,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})",0.2222222222222222,0.24444444444444444,0.2222222222222222,1.0,4.090909090909091,0.16790123456790124,inf
423,"frozenset({'Temperatura_Bajo', 'Crisis_obstructiva_bronquial_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'MP10_Medio', 'Temperatura_min_Bajo'})",0.2,0.24444444444444444,0.2,1.0,4.090909090909091,0.1511111111111111,inf
60,frozenset({'Temperatura_Bajo'}),"frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.24444444444444444,0.26666666666666666,0.24444444444444444,1.0,3.75,0.17925925925925926,inf
93,"frozenset({'Temperatura_max_Alto', 'Temperatura_min_Alto'})",frozenset({'Temperatura_Alto'}),0.2222222222222222,0.26666666666666666,0.2222222222222222,1.0,3.75,0.16296296296296295,inf
172,"frozenset({'Temperatura_Bajo', 'Neumonia_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
196,"frozenset({'Temperatura_Bajo', 'Crisis_obstructiva_bronquial_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
230,"frozenset({'Temperatura_Bajo', 'MP10_Medio'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
276,"frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_u_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2222222222222222,0.26666666666666666,0.2222222222222222,1.0,3.75,0.16296296296296295,inf
302,"frozenset({'Temperatura_Bajo', 'MP10_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
422,"frozenset({'Temperatura_Bajo', 'MP10_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
424,"frozenset({'Temperatura_Bajo', 'MP10_Medio', 'Crisis_obstructiva_bronquial_Bajo'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Bajo'})",0.2,0.26666666666666666,0.2,1.0,3.75,0.14666666666666667,inf
4,frozenset({'Temperatura_Alto'}),frozenset({'Temperatura_min_Alto'}),0.26666666666666666,0.28888888888888886,0.26666666666666666,1.0,3.4615384615384617,0.18962962962962965,inf
54,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",frozenset({'Temperatura_min_Alto'}),0.2222222222222222,0.28888888888888886,0.2222222222222222,1.0,3.4615384615384617,0.1580246913580247,inf
67,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",frozenset({'Temperatura_min_Alto'}),0.2222222222222222,0.28888888888888886,0.2222222222222222,1.0,3.4615384615384617,0.1580246913580247,inf
76,"frozenset({'Temperatura_Alto', 'Rocio_Alto'})",frozenset({'Temperatura_min_Alto'}),0.2,0.28888888888888886,0.2,1.0,3.4615384615384617,0.14222222222222225,inf
94,"frozenset({'Temperatura_Alto', 'Temperatura_max_Alto'})",frozenset({'Temperatura_min_Alto'}),0.2222222222222222,0.28888888888888886,0.2222222222222222,1.0,3.4615384615384617,0.1580246913580247,inf
293,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'COVID19_Confirmado_h_Bajo'})",frozenset({'Temperatura_min_Alto'}),0.2222222222222222,0.28888888888888886,0.2222222222222222,1.0,3.4615384615384617,0.1580246913580247,inf
0,frozenset({'Temperatura_Bajo'}),frozenset({'Temperatura_min_Bajo'}),0.24444444444444444,0.3111111111111111,0.24444444444444444,1.0,3.2142857142857144,0.16839506172839505,inf
16,"frozenset({'Temperatura_Bajo', 'Neumonia_Bajo'})",frozenset({'Temperatura_min_Bajo'}),0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
24,"frozenset({'Temperatura_Bajo', 'Crisis_obstructiva_bronquial_Bajo'})",frozenset({'Temperatura_min_Bajo'}),0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
46,"frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_u_Bajo'})",frozenset({'Temperatura_min_Bajo'}),0.2222222222222222,0.3111111111111111,0.2222222222222222,1.0,3.2142857142857144,0.1530864197530864,inf
58,"frozenset({'Temperatura_Bajo', 'COVID19_Confirmado_h_Bajo'})",frozenset({'Temperatura_min_Bajo'}),0.24444444444444444,0.3111111111111111,0.24444444444444444,1.0,3.2142857142857144,0.16839506172839505,inf
80,"frozenset({'Temperatura_Bajo', 'MP10_Medio'})",frozenset({'Temperatura_min_Bajo'}),0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
