,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
29,"frozenset({'OCRuB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
59,"frozenset({'INFu_B', 'OCRuB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
76,"frozenset({'NNIAu_B', 'OCRuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
100,"frozenset({'OCRuB', 'COBuB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
106,"frozenset({'CSRhMB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
151,"frozenset({'INFu_B', 'OCRuB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
153,"frozenset({'INFu_B', 'OCRuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
155,"frozenset({'OCRuB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
159,"frozenset({'INFu_B', 'IRASu_B', 'CSRhMB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
190,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
200,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
203,"frozenset({'NNIAu_B', 'OCRuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
226,"frozenset({'OCRuB', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
230,"frozenset({'OCRuB', 'IRASu_B'})","frozenset({'BROIu_B', 'COBuB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
231,"frozenset({'OCRuB', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
238,"frozenset({'IRASu_B', 'CSRhMB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
244,"frozenset({'CSRhMB', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
249,"frozenset({'COBuB', 'IRASu_B', 'RMA'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
271,"frozenset({'INFu_B', 'NNIAu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
282,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
288,"frozenset({'NNIAu_B', 'OCRuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
308,"frozenset({'INFu_B', 'OCRuB', 'COBuB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
310,"frozenset({'INFu_B', 'OCRuB'})","frozenset({'BROIu_B', 'COBuB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
314,"frozenset({'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
320,"frozenset({'INFu_B', 'CSRhMB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
326,"frozenset({'CSRhMB', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
331,"frozenset({'INFu_B', 'RMA', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
349,"frozenset({'NNIAu_B', 'OCRuB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
353,"frozenset({'NNIAu_B', 'OCRuB'})","frozenset({'BROIu_B', 'COBuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
367,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
371,"frozenset({'INFu_B', 'NNIAu_B', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
376,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
391,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
394,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
400,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
406,"frozenset({'NNIAu_B', 'OCRuB'})","frozenset({'INFu_B', 'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
440,"frozenset({'INFu_B', 'OCRuB', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
444,"frozenset({'INFu_B', 'OCRuB', 'IRASu_B'})","frozenset({'BROIu_B', 'COBuB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
445,"frozenset({'INFu_B', 'OCRuB', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
449,"frozenset({'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
451,"frozenset({'INFu_B', 'OCRuB'})","frozenset({'BROIu_B', 'IRASu_B', 'COBuB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
456,"frozenset({'OCRuB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COBuB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
457,"frozenset({'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
