,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
133,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'INFu_B', 'COVIDuB', 'NNIAu_MB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
156,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'INFu_B', 'COVIDhB', 'NNIAu_MB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
264,"frozenset({'MP25MB', 'BROIu_B', 'COVIDuB', 'IRASu_B'})","frozenset({'INFu_B', 'COVIDhB', 'NNIAu_MB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
266,"frozenset({'MP25MB', 'BROIu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'INFu_B', 'COVIDuB', 'NNIAu_MB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
283,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'INFu_B', 'COVIDuB', 'COVIDhB', 'NNIAu_MB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
37,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'INFu_B', 'NNIAu_MB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
72,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDuB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
82,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
121,"frozenset({'INFu_B', 'BROIu_B', 'IRASu_B', 'MP25MB'})","frozenset({'NNIAu_MB', 'COVIDuB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
123,"frozenset({'MP25MB', 'BROIu_B', 'COVIDuB', 'IRASu_B'})","frozenset({'INFu_B', 'NNIAu_MB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
144,"frozenset({'INFu_B', 'BROIu_B', 'IRASu_B', 'MP25MB'})","frozenset({'NNIAu_MB', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
148,"frozenset({'MP25MB', 'BROIu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'INFu_B', 'NNIAu_MB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
208,"frozenset({'MP25MB', 'BROIu_B', 'COVIDuB', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
209,"frozenset({'MP25MB', 'BROIu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDuB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
218,"frozenset({'MP25MB', 'BROIu_B', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDhB', 'COVIDuB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
244,"frozenset({'INFu_B', 'MP25MB', 'COVIDuB', 'BROIu_B', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
246,"frozenset({'INFu_B', 'MP25MB', 'BROIu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'NNIAu_MB', 'COVIDuB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
