,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
435,"frozenset({'MP10_Bajo', 'Temperatura_max_Alto'})","frozenset({'MP2.5_Bajo', 'Influenza_Bajo'})",0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
229,"frozenset({'IRA_Alta_Bajo', 'MP2.5_Bajo'})","frozenset({'Bronquitis_bronquiolitis_Bajo', 'MP10_Bajo'})",0.24444444444444444,0.3333333333333333,0.24444444444444444,1.0,3.0,0.16296296296296298,inf
820,"frozenset({'IRA_Alta_Bajo', 'Influenza_Bajo', 'MP10_Bajo'})","frozenset({'MP2.5_Bajo', 'Bronquitis_bronquiolitis_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
824,"frozenset({'IRA_Alta_Bajo', 'Influenza_Bajo', 'MP2.5_Bajo'})","frozenset({'Bronquitis_bronquiolitis_Bajo', 'MP10_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
910,"frozenset({'MP2.5_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Neumonia_Medio'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
960,"frozenset({'MP2.5_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'Neumonia_Medio', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2104,"frozenset({'COVID19_Confirmado_h_Bajo', 'MP2.5_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Neumonia_Medio'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2105,"frozenset({'COVID19_Confirmado_u_Bajo', 'MP2.5_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'Neumonia_Medio', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2117,"frozenset({'MP2.5_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Neumonia_Medio', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2241,"frozenset({'Temperatura_min_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2242,"frozenset({'COVID19_Confirmado_u_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_min_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2549,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2551,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2674,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.24444444444444444,0.3333333333333333,0.24444444444444444,1.0,3.0,0.16296296296296298,inf
2675,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.24444444444444444,0.3333333333333333,0.24444444444444444,1.0,3.0,0.16296296296296298,inf
2682,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.24444444444444444,0.3333333333333333,0.24444444444444444,1.0,3.0,0.16296296296296298,inf
2683,"frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.24444444444444444,0.3333333333333333,0.24444444444444444,1.0,3.0,0.16296296296296298,inf
2916,"frozenset({'Temperatura_min_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2917,"frozenset({'COVID19_Confirmado_u_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2964,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
2966,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3083,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3084,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3096,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3097,"frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3129,"frozenset({'Temperatura_min_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3130,"frozenset({'COVID19_Confirmado_u_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3181,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3183,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3194,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3196,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3225,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
3227,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.2,0.3333333333333333,0.2,1.0,3.0,0.13333333333333336,inf
214,"frozenset({'IRA_Alta_Bajo', 'COVID19_Confirmado_u_Bajo'})","frozenset({'Bronquitis_bronquiolitis_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.24444444444444444,0.35555555555555557,0.24444444444444444,1.0,2.8125,0.15753086419753087,inf
215,"frozenset({'IRA_Alta_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'COVID19_Confirmado_u_Bajo', 'Bronquitis_bronquiolitis_Bajo'})",0.24444444444444444,0.35555555555555557,0.24444444444444444,1.0,2.8125,0.15753086419753087,inf
307,"frozenset({'CAUSAS_SISTEMA_RESPIRATORIO_Medio', 'Temperatura_min_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo'})",0.2222222222222222,0.35555555555555557,0.2222222222222222,1.0,2.8125,0.14320987654320988,inf
385,"frozenset({'Humedad_Medio', 'Temperatura_min_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo'})",0.2222222222222222,0.35555555555555557,0.2222222222222222,1.0,2.8125,0.14320987654320988,inf
422,"frozenset({'Influenza_Bajo', 'Temperatura_min_Alto'})","frozenset({'Rocio_Alto', 'Temperatura_max_Alto'})",0.26666666666666666,0.35555555555555557,0.26666666666666666,1.0,2.8125,0.17185185185185184,inf
