,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
231,frozenset({'TA'}),"frozenset({'COVIDuB', 'RA', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
243,frozenset({'TA'}),"frozenset({'COVIDhB', 'TmaxA', 'RA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
356,"frozenset({'TA', 'BROIu_B'})","frozenset({'TmaxA', 'RA', 'COVIDuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
360,frozenset({'TA'}),"frozenset({'TmaxA', 'BROIu_B', 'RA', 'COVIDuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
378,"frozenset({'TA', 'BROIu_B'})","frozenset({'RA', 'COVIDhB', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
384,frozenset({'TA'}),"frozenset({'BROIu_B', 'RA', 'COVIDhB', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
402,"frozenset({'TA', 'COVIDuB'})","frozenset({'RA', 'COVIDhB', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
404,"frozenset({'TA', 'COVIDhB'})","frozenset({'TmaxA', 'RA', 'COVIDuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
408,frozenset({'TA'}),"frozenset({'TmaxA', 'RA', 'COVIDhB', 'COVIDuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
434,"frozenset({'TA', 'BROIu_B', 'COVIDuB'})","frozenset({'RA', 'COVIDhB', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
439,"frozenset({'TA', 'BROIu_B', 'COVIDhB'})","frozenset({'TmaxA', 'RA', 'COVIDuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
448,"frozenset({'TA', 'COVIDuB'})","frozenset({'BROIu_B', 'RA', 'COVIDhB', 'TmaxA'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
