,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
6243,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Bronquitis_bronquiolitis_Bajo'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
6244,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
6245,"frozenset({'Otra_causa_respiratoria_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
6246,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Bronquitis_bronquiolitis_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
7762,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Temperatura_min_Alto', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
7763,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_min_Alto'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
7764,"frozenset({'Otra_causa_respiratoria_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_min_Alto'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
7765,"frozenset({'Temperatura_min_Alto', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
1010,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.225,0.225,0.225,1.0,4.444444444444445,0.174375,inf
1013,"frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.225,0.225,0.225,1.0,4.444444444444445,0.174375,inf
2007,"frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
2008,"frozenset({'Otra_causa_respiratoria_Bajo', 'Influenza_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
2641,"frozenset({'Otra_causa_respiratoria_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
2898,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Bronquitis_bronquiolitis_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
2899,"frozenset({'Otra_causa_respiratoria_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3523,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3524,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3823,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Humedad_Medio'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3824,"frozenset({'Otra_causa_respiratoria_Bajo', 'Humedad_Medio', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3846,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_min_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3871,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3872,"frozenset({'Otra_causa_respiratoria_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3936,"frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_min_Alto'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3937,"frozenset({'Temperatura_min_Alto', 'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
6230,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Bronquitis_bronquiolitis_Bajo'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
6231,"frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Otra_causa_respiratoria_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
6232,"frozenset({'Otra_causa_respiratoria_Bajo', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Bronquitis_bronquiolitis_Bajo', 'Temperatura_max_Alto'})","frozenset({'Crisis_obstructiva_bronquial_Bajo', 'Temperatura_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7743,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_max_Alto'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_min_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7748,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_min_Alto'})","frozenset({'Otra_causa_respiratoria_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7749,"frozenset({'Temperatura_min_Alto', 'Otra_causa_respiratoria_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7759,"frozenset({'Temperatura_Alto', 'Otra_causa_respiratoria_Bajo', 'Temperatura_min_Alto'})","frozenset({'Rocio_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7769,"frozenset({'Temperatura_min_Alto', 'CAUSAS_SISTEMA_RESPIRATORIO_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'Otra_causa_respiratoria_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
