,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
413,"frozenset({'CSRhB', 'TMB'})","frozenset({'NNIAu_B', 'TminMB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
451,"frozenset({'CSRhB', 'TMB'})","frozenset({'TminMB', 'COBuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
1483,"frozenset({'NNIAu_B', 'CSRhB', 'TMB'})","frozenset({'TminMB', 'COBuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
1485,"frozenset({'COBuB', 'CSRhB', 'TMB'})","frozenset({'NNIAu_B', 'TminMB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
1490,"frozenset({'CSRhB', 'TMB'})","frozenset({'NNIAu_B', 'TminMB', 'COBuB'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
91,"frozenset({'CSRhB', 'TMB'})",frozenset({'TminMB'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
119,frozenset({'TA'}),"frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
409,"frozenset({'NNIAu_B', 'CSRhB', 'TMB'})",frozenset({'TminMB'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
412,"frozenset({'CSRhB', 'TminMB'})","frozenset({'NNIAu_B', 'TMB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
447,"frozenset({'TMB', 'CSRhB', 'COBuB'})",frozenset({'TminMB'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
450,"frozenset({'CSRhB', 'TminMB'})","frozenset({'TMB', 'COBuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
471,"frozenset({'TA', 'COBuB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
475,frozenset({'TA'}),"frozenset({'RA', 'TmaxA', 'COBuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1479,"frozenset({'NNIAu_B', 'COBuB', 'CSRhB', 'TMB'})",frozenset({'TminMB'}),0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1480,"frozenset({'NNIAu_B', 'CSRhB', 'TminMB'})","frozenset({'COBuB', 'TMB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1482,"frozenset({'CSRhB', 'TminMB', 'COBuB'})","frozenset({'NNIAu_B', 'TMB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1487,"frozenset({'CSRhB', 'TminMB'})","frozenset({'NNIAu_B', 'COBuB', 'TMB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
90,"frozenset({'CSRhB', 'TminMB'})",frozenset({'TMB'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
408,"frozenset({'NNIAu_B', 'CSRhB', 'TminMB'})",frozenset({'TMB'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
446,"frozenset({'CSRhB', 'TminMB', 'COBuB'})",frozenset({'TMB'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
1478,"frozenset({'NNIAu_B', 'CSRhB', 'TminMB', 'COBuB'})",frozenset({'TMB'}),0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
12,frozenset({'TA'}),frozenset({'TmaxA'}),0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
80,"frozenset({'TA', 'COBuB'})",frozenset({'TmaxA'}),0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
82,frozenset({'TA'}),"frozenset({'TmaxA', 'COBuB'})",0.2,0.325,0.2,1.0,3.0769230769230766,0.135,inf
