,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
6684,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
6686,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7561,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7563,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7595,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7597,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
7998,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8000,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8032,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8034,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8133,"frozenset({'Rocio_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8135,"frozenset({'Rocio_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8200,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8202,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8204,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8206,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8258,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Temperatura_max_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
8260,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Temperatura_max_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.225,0.2,1.0,4.444444444444445,0.155,inf
3671,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
3673,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
3831,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
3832,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5489,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5491,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5506,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5508,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5745,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Influenza_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5746,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5750,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5751,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5762,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
5763,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6520,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6522,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6537,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6539,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6633,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6635,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6665,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6667,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
6717,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6718,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6728,"frozenset({'Temperatura_min_Alto', 'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6729,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6734,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
6735,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7222,"frozenset({'Rocio_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7224,"frozenset({'Rocio_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7251,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7253,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7255,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7257,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7288,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7290,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7457,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7459,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7490,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7492,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7527,"frozenset({'Temperatura_max_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7529,"frozenset({'Temperatura_max_Alto', 'Influenza_Bajo', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7535,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Humedad_Medio', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7538,"frozenset({'Temperatura_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7557,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7559,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7634,"frozenset({'Temperatura_max_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7635,"frozenset({'Temperatura_max_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7640,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7641,"frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7654,"frozenset({'Temperatura_min_Alto', 'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7655,"frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7661,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7662,"frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7664,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Influenza_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7665,"frozenset({'Temperatura_min_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7674,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7675,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_min_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7685,"frozenset({'Temperatura_min_Alto', 'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7686,"frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Influenza_Bajo', 'Temperatura_max_Alto'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7695,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_u_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7696,"frozenset({'Temperatura_min_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'Influenza_Bajo', 'COVID19_Confirmado_h_Bajo'})",0.225,0.25,0.225,1.0,4.0,0.16875,inf
7964,"frozenset({'Temperatura_max_Alto', 'Rocio_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7966,"frozenset({'Temperatura_max_Alto', 'Rocio_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_min_Alto'})","frozenset({'Temperatura_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7984,"frozenset({'Temperatura_min_Alto', 'Temperatura_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo'})","frozenset({'Rocio_Alto', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7986,"frozenset({'Temperatura_min_Alto', 'Temperatura_Alto', 'COVID19_Confirmado_u_Bajo', 'Humedad_Medio'})","frozenset({'COVID19_Confirmado_h_Bajo', 'Rocio_Alto', 'Temperatura_max_Alto'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7994,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_h_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_u_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
7996,"frozenset({'Temperatura_min_Alto', 'Humedad_Medio', 'COVID19_Confirmado_u_Bajo', 'Temperatura_max_Alto'})","frozenset({'Temperatura_Alto', 'Rocio_Alto', 'COVID19_Confirmado_h_Bajo'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
