,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
435,"frozenset({'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
711,"frozenset({'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1091,"frozenset({'INFu_B', 'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1108,"frozenset({'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1570,"frozenset({'BROIu_B', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1583,"frozenset({'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'COVIDhB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1715,"frozenset({'INFu_B', 'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1726,"frozenset({'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1903,"frozenset({'CSRhB', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1914,"frozenset({'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'NNIAu_B', 'COVIDhB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2520,"frozenset({'INFu_B', 'COVIDuB', 'BROIu_B', 'COVIDhB', 'COBuB'})","frozenset({'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2536,"frozenset({'INFu_B', 'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'COVIDhB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2549,"frozenset({'BROIu_B', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2572,"frozenset({'BROIu_B', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'COVIDhB', 'IRASu_B'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2832,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhB', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2842,"frozenset({'INFu_B', 'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'NNIAu_B', 'OCRuB', 'COVIDhB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2849,"frozenset({'CSRhB', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'OCRuB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
2864,"frozenset({'CSRhB', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'COVIDhB'})",0.2,0.35555555555555557,0.2,1.0,2.8125,0.1288888888888889,inf
1367,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2222222222222222,0.37777777777777777,0.2222222222222222,1.0,2.6470588235294117,0.13827160493827162,inf
2110,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2222222222222222,0.37777777777777777,0.2222222222222222,1.0,2.6470588235294117,0.13827160493827162,inf
2140,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2222222222222222,0.37777777777777777,0.2222222222222222,1.0,2.6470588235294117,0.13827160493827162,inf
2619,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2,0.37777777777777777,0.2,1.0,2.6470588235294117,0.12444444444444445,inf
2901,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2,0.37777777777777777,0.2,1.0,2.6470588235294117,0.12444444444444445,inf
2979,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB', 'CSRhB'})",0.2,0.37777777777777777,0.2,1.0,2.6470588235294117,0.12444444444444445,inf
296,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
347,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
708,"frozenset({'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
818,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
831,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
917,"frozenset({'INFu_B', 'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
924,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1276,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1357,"frozenset({'NNIAu_B', 'COVIDhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
1373,"frozenset({'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
1473,"frozenset({'MP10MB', 'NNIAu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1481,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1712,"frozenset({'INFu_B', 'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1723,"frozenset({'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1900,"frozenset({'NNIAu_B', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1911,"frozenset({'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'COVIDhB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1932,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
1964,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2099,"frozenset({'INFu_B', 'NNIAu_B', 'COVIDhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
2116,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
2123,"frozenset({'NNIAu_B', 'COVIDhB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'CSRhB'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
2146,"frozenset({'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
2333,"frozenset({'INFu_B', 'COVIDhB', 'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2342,"frozenset({'INFu_B', 'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2346,"frozenset({'MP10MB', 'NNIAu_B', 'COVIDhB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2358,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB', 'COVIDuB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2602,"frozenset({'COVIDhB', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2625,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2830,"frozenset({'INFu_B', 'NNIAu_B', 'COVIDuB', 'COVIDhB', 'COBuB'})","frozenset({'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2839,"frozenset({'INFu_B', 'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'OCRuB', 'COVIDhB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2847,"frozenset({'NNIAu_B', 'COVIDhB', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2861,"frozenset({'NNIAu_B', 'COVIDuB', 'COBuB'})","frozenset({'INFu_B', 'OCRuB', 'COVIDhB', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2882,"frozenset({'INFu_B', 'COVIDhB', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2907,"frozenset({'INFu_B', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2930,"frozenset({'COVIDhB', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'CSRhB'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
2985,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'COVIDhB', 'BROIu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
300,"frozenset({'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
820,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
833,"frozenset({'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
1279,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
1359,"frozenset({'IRASu_B', 'COVIDhB', 'CSRhB', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
1935,"frozenset({'INFu_B', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
1967,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
2101,"frozenset({'INFu_B', 'CSRhB', 'COVIDhB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
2125,"frozenset({'IRASu_B', 'COVIDhB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'BROIu_B'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
2604,"frozenset({'COVIDhB', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
2884,"frozenset({'INFu_B', 'COVIDhB', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
2932,"frozenset({'COVIDhB', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'NNIAu_B', 'BROIu_B'})",0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
310,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
364,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
370,"frozenset({'MP25MB', 'NNIAu_B', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
458,"frozenset({'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
472,"frozenset({'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
844,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
851,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
952,"frozenset({'INFu_B', 'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
957,"frozenset({'NNIAu_B', 'MP10MB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
964,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'MP25MB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
976,"frozenset({'MP25MB', 'NNIAu_B', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
1131,"frozenset({'INFu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
1147,"frozenset({'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
1164,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
1173,"frozenset({'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
1317,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
1354,"frozenset({'NNIAu_B', 'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
1474,"frozenset({'NNIAu_B', 'MP10MB', 'COVIDuB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
1529,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
1566,"frozenset({'IRASu_B', 'OCRuB', 'COVIDuB', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2019,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2047,"frozenset({'NNIAu_B', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2096,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'CSRhB', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
2120,"frozenset({'NNIAu_B', 'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,2.25,0.12345679012345678,inf
2334,"frozenset({'INFu_B', 'NNIAu_B', 'COVIDuB', 'MP10MB', 'IRASu_B'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2347,"frozenset({'NNIAu_B', 'MP10MB', 'COVIDuB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2431,"frozenset({'INFu_B', 'CSRhB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2461,"frozenset({'IRASu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
2516,"frozenset({'INFu_B', 'COVIDuB', 'OCRuB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'COVIDhB'})",0.2,0.4444444444444444,0.2,1.0,2.25,0.11111111111111112,inf
