,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
613,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
626,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1562,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1571,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1584,"frozenset({'BROIu_B', 'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1593,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1751,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1763,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1776,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1788,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1847,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1859,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1872,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
1884,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2808,"frozenset({'INFu_B', 'COVIDuB', 'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2820,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2826,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2845,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2850,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2869,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2875,"frozenset({'BROIu_B', 'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
2887,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'COVIDuB', 'CSRhB', 'IRASu_B', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3000,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3012,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})","frozenset({'BROIu_B', 'OCRuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3018,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3037,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3042,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3061,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3067,"frozenset({'BROIu_B', 'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3079,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'IRASu_B', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3157,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'CSRhB', 'IRASu_B'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3172,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3175,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3197,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3202,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3224,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3227,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3242,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'CSRhB', 'IRASu_B'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3644,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3659,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'CSRhB', 'IRASu_B'})","frozenset({'BROIu_B', 'OCRuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3665,"frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3671,"frozenset({'INFu_B', 'COVIDuB', 'CSRhB', 'IRASu_B', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3699,"frozenset({'COVIDhA', 'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3704,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3707,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})","frozenset({'BROIu_B', 'OCRuB', 'COVIDhA', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3713,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})","frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3750,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3756,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3759,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuB', 'COVIDhA'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3764,"frozenset({'INFu_B', 'IRASu_B', 'COVIDuB'})","frozenset({'COVIDhA', 'BROIu_B', 'OCRuB', 'CSRhB', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3792,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'INFu_B', 'COVIDuB', 'CSRhB', 'IRASu_B', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3798,"frozenset({'BROIu_B', 'OCRuB', 'CSRhB'})","frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'IRASu_B', 'COBuB'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
3804,"frozenset({'BROIu_B', 'OCRuB', 'COBuB'})","frozenset({'INFu_B', 'COVIDuB', 'COVIDhA', 'CSRhB', 'IRASu_B'})",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,0.1728395061728395,inf
