,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
116,"frozenset({'BROIu_B', 'TMA'})",frozenset({'COBuB'}),0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
207,"frozenset({'BROIu_B', 'IRASu_B', 'TMA'})",frozenset({'COBuB'}),0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
211,"frozenset({'BROIu_B', 'TMA'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3111111111111111,0.2,1.0,3.2142857142857144,0.13777777777777778,inf
157,"frozenset({'HM', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.2,0.37777777777777777,0.2,1.0,2.6470588235294117,0.12444444444444445,inf
165,"frozenset({'MP10MB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.2222222222222222,0.37777777777777777,0.2222222222222222,1.0,2.6470588235294117,0.13827160493827162,inf
172,"frozenset({'MP25MB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.2,0.37777777777777777,0.2,1.0,2.6470588235294117,0.12444444444444445,inf
11,frozenset({'COBuB'}),frozenset({'BROIu_B'}),0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
13,frozenset({'CSRhB'}),frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
32,"frozenset({'NNIAu_B', 'IRASu_B'})",frozenset({'BROIu_B'}),0.26666666666666666,0.4,0.26666666666666666,1.0,2.5,0.15999999999999998,inf
44,"frozenset({'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
47,frozenset({'COBuB'}),"frozenset({'BROIu_B', 'IRASu_B'})",0.3111111111111111,0.4,0.3111111111111111,1.0,2.5,0.18666666666666665,inf
49,"frozenset({'IRASu_B', 'CSRhB'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
51,frozenset({'CSRhB'}),"frozenset({'BROIu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
55,"frozenset({'HM', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
63,"frozenset({'MP10MB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
67,"frozenset({'MP25MB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
95,"frozenset({'INFu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.28888888888888886,0.4,0.28888888888888886,1.0,2.5,0.1733333333333333,inf
99,"frozenset({'INFu_B', 'CSRhB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
107,"frozenset({'NNIAu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
112,"frozenset({'CSRhB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
117,"frozenset({'TMA', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
120,"frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B'})",frozenset({'BROIu_B'}),0.24444444444444444,0.4,0.24444444444444444,1.0,2.5,0.14666666666666667,inf
130,"frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.28888888888888886,0.4,0.28888888888888886,1.0,2.5,0.1733333333333333,inf
133,"frozenset({'INFu_B', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.28888888888888886,0.4,0.28888888888888886,1.0,2.5,0.1733333333333333,inf
142,"frozenset({'INFu_B', 'IRASu_B', 'CSRhB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
144,"frozenset({'INFu_B', 'CSRhB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
153,"frozenset({'INFu_B', 'HM', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
156,"frozenset({'BROIu_B', 'HM'})","frozenset({'INFu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
161,"frozenset({'INFu_B', 'MP10MB', 'IRASu_B'})",frozenset({'BROIu_B'}),0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
164,"frozenset({'BROIu_B', 'MP10MB'})","frozenset({'INFu_B', 'IRASu_B'})",0.2222222222222222,0.4,0.2222222222222222,1.0,2.5,0.1333333333333333,inf
169,"frozenset({'MP25MB', 'IRASu_B', 'INFu_B'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
171,"frozenset({'MP25MB', 'BROIu_B'})","frozenset({'INFu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
182,"frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
187,"frozenset({'NNIAu_B', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
194,"frozenset({'IRASu_B', 'CSRhB', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
198,"frozenset({'CSRhB', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
208,"frozenset({'TMA', 'IRASu_B', 'COBuB'})",frozenset({'BROIu_B'}),0.2,0.4,0.2,1.0,2.5,0.12,inf
213,"frozenset({'TMA', 'COBuB'})","frozenset({'BROIu_B', 'IRASu_B'})",0.2,0.4,0.2,1.0,2.5,0.12,inf
0,frozenset({'BROIu_B'}),frozenset({'IRASu_B'}),0.4,0.4222222222222222,0.4,1.0,2.3684210526315788,0.23111111111111113,inf
3,frozenset({'COBuB'}),frozenset({'IRASu_B'}),0.3111111111111111,0.4222222222222222,0.3111111111111111,1.0,2.3684210526315788,0.1797530864197531,inf
4,frozenset({'CSRhB'}),frozenset({'IRASu_B'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
18,"frozenset({'INFu_B', 'BROIu_B'})",frozenset({'IRASu_B'}),0.37777777777777777,0.4222222222222222,0.37777777777777777,1.0,2.3684210526315788,0.2182716049382716,inf
23,"frozenset({'INFu_B', 'COBuB'})",frozenset({'IRASu_B'}),0.28888888888888886,0.4222222222222222,0.28888888888888886,1.0,2.3684210526315788,0.16691358024691355,inf
26,"frozenset({'INFu_B', 'CSRhB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
33,"frozenset({'NNIAu_B', 'BROIu_B'})",frozenset({'IRASu_B'}),0.26666666666666666,0.4222222222222222,0.26666666666666666,1.0,2.3684210526315788,0.15407407407407409,inf
39,"frozenset({'NNIAu_B', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
43,"frozenset({'BROIu_B', 'COBuB'})",frozenset({'IRASu_B'}),0.3111111111111111,0.4222222222222222,0.3111111111111111,1.0,2.3684210526315788,0.1797530864197531,inf
48,"frozenset({'BROIu_B', 'CSRhB'})",frozenset({'IRASu_B'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
54,"frozenset({'BROIu_B', 'HM'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
58,"frozenset({'BROIu_B', 'TMA'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
62,"frozenset({'BROIu_B', 'MP10MB'})",frozenset({'IRASu_B'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
66,"frozenset({'MP25MB', 'BROIu_B'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
73,"frozenset({'CSRhB', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
78,"frozenset({'TMA', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
121,"frozenset({'INFu_B', 'NNIAu_B', 'BROIu_B'})",frozenset({'IRASu_B'}),0.24444444444444444,0.4222222222222222,0.24444444444444444,1.0,2.3684210526315788,0.14123456790123456,inf
129,"frozenset({'INFu_B', 'BROIu_B', 'COBuB'})",frozenset({'IRASu_B'}),0.28888888888888886,0.4222222222222222,0.28888888888888886,1.0,2.3684210526315788,0.16691358024691355,inf
140,"frozenset({'INFu_B', 'BROIu_B', 'CSRhB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
152,"frozenset({'INFu_B', 'BROIu_B', 'HM'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
160,"frozenset({'INFu_B', 'BROIu_B', 'MP10MB'})",frozenset({'IRASu_B'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
168,"frozenset({'MP25MB', 'BROIu_B', 'INFu_B'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
181,"frozenset({'NNIAu_B', 'BROIu_B', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
193,"frozenset({'BROIu_B', 'CSRhB', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
206,"frozenset({'BROIu_B', 'TMA', 'COBuB'})",frozenset({'IRASu_B'}),0.2,0.4222222222222222,0.2,1.0,2.3684210526315788,0.11555555555555556,inf
1,frozenset({'IRASu_B'}),frozenset({'BROIu_B'}),0.4222222222222222,0.4,0.4,0.9473684210526316,2.3684210526315788,0.23111111111111113,11.400000000000013
19,"frozenset({'INFu_B', 'IRASu_B'})",frozenset({'BROIu_B'}),0.4,0.4,0.37777777777777777,0.9444444444444444,2.3611111111111107,0.21777777777777774,10.799999999999995
20,frozenset({'BROIu_B'}),"frozenset({'INFu_B', 'IRASu_B'})",0.4,0.4,0.37777777777777777,0.9444444444444444,2.3611111111111107,0.21777777777777774,10.799999999999995
97,frozenset({'COBuB'}),"frozenset({'INFu_B', 'BROIu_B'})",0.3111111111111111,0.37777777777777777,0.28888888888888886,0.9285714285714285,2.4579831932773106,0.171358024691358,8.711111111111101
136,"frozenset({'IRASu_B', 'COBuB'})","frozenset({'INFu_B', 'BROIu_B'})",0.3111111111111111,0.37777777777777777,0.28888888888888886,0.9285714285714285,2.4579831932773106,0.171358024691358,8.711111111111101
139,frozenset({'COBuB'}),"frozenset({'INFu_B', 'BROIu_B', 'IRASu_B'})",0.3111111111111111,0.37777777777777777,0.28888888888888886,0.9285714285714285,2.4579831932773106,0.171358024691358,8.711111111111101
25,frozenset({'COBuB'}),"frozenset({'INFu_B', 'IRASu_B'})",0.3111111111111111,0.4,0.28888888888888886,0.9285714285714285,2.321428571428571,0.1644444444444444,8.39999999999999
135,"frozenset({'BROIu_B', 'COBuB'})","frozenset({'INFu_B', 'IRASu_B'})",0.3111111111111111,0.4,0.28888888888888886,0.9285714285714285,2.321428571428571,0.1644444444444444,8.39999999999999
124,"frozenset({'NNIAu_B', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B'})",0.26666666666666666,0.37777777777777777,0.24444444444444444,0.9166666666666666,2.426470588235294,0.1437037037037037,7.466666666666663
125,"frozenset({'NNIAu_B', 'BROIu_B'})","frozenset({'INFu_B', 'IRASu_B'})",0.26666666666666666,0.4,0.24444444444444444,0.9166666666666666,2.2916666666666665,0.13777777777777778,7.199999999999997
